City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,east london,-33.0153,27.9116,17.06,93,100,10.21,ZA,1697424596
84,tiksi,71.6872,128.8694,-7.78,89,100,7.62,RU,1697424596
85,baiti,13.745,-14.7482,24.76,84,100,3.09,SN,1697424596
86,punta arenas,-53.15,-70.9167,6.06,70,75,8.75,CL,1697424359
87,port elizabeth,-33.918,25.5701,17.16,97,75,6.17,ZA,1697424526
88,badger,64.8,-147.5333,3.17,87,40,1.54,US,1697424597
89,papatowai,-46.5619,169.4708,10.52,81,97,4.23,NZ,1697424597
90,constitucion,-35.3333,-72.4167,9.44,81,2,4.13,CL,1697424597
91,guozhen,34.3659,107.359,22.9,50,8,1.38,CN,1697424597
92,thompson,55.7435,-97.8558,4.09,93,0,1.03,CA,1697424597
93,soe,-9.8607,124.284,30.28,31,6,5.31,ID,1697424597
94,mongo,12.1844,18.693,26.12,68,58,1.39,TD,1697424598
95,laojunmiao,39.8333,97.7333,8.08,38,96,2.34,CN,1697424598
96,olinda,-8.0089,-34.8553,24.85,83,75,3.09,BR,1697424598
97,port mathurin,-19.6833,63.4167,23.86,82,2,5.41,MU,1697424598
98,ichinoseki,38.9167,141.1333,20.29,55,0,6.33,JP,1697424598
99,peace river,56.2501,-117.286,7.17,81,40,1.03,CA,1697424598
100,west island,-12.1568,96.8225,27.99,65,100,4.12,CC,1697424598
101,tsiombe,-25.3,45.4833,19.52,83,88,0.75,MG,1697424599
102,vilyuchinsk,52.9306,158.4028,9.15,95,100,3.92,RU,1697424599
103,rundu,-17.9333,19.7667,24.95,21,100,2.16,NA,1697424599
104,invercargill,-46.4,168.35,9.45,90,96,3.13,NZ,1697424456
105,kaka,37.3482,59.6143,12.18,32,0,3.02,TM,1697424599
106,dudinka,69.4058,86.1778,-6.85,91,40,3.58,RU,1697424599
107,blackmans bay,-43.0167,147.3167,11.52,68,41,1.34,AU,1697424600
108,ciudad lazaro cardenas,17.9583,-102.2,27.16,86,100,1.29,MX,1697424600
109,hirtshals,57.5881,9.9592,8.27,60,10,7.49,DK,1697424600
110,lata,40.1629,-8.3327,15.51,94,86,1.59,PT,1697424600
111,kourou,5.1552,-52.6478,25.03,82,100,5.07,GF,1697424600
112,awjilah,29.1081,21.2869,19.2,66,0,1.41,LY,1697424600
113,st. john's,47.5649,-52.7093,11.2,93,75,2.57,CA,1697424317
114,gardelegen,52.5252,11.3952,6.99,84,73,4.77,DE,1697424601
115,kuzovatovo,53.5468,47.6866,9.29,75,0,4.48,RU,1697424601
116,korla,41.7597,86.1469,15.14,30,35,3.54,CN,1697424601
117,saldanha,-33.0117,17.9442,14.03,85,0,3.25,ZA,1697424601
118,enewetak,11.3474,162.3373,28.75,75,100,6.07,MH,1697424601
119,qaqortoq,60.7167,-46.0333,2.21,94,100,0.66,GL,1697424601
120,sars,56.5502,57.1366,7.73,94,99,5.69,RU,1697424602
121,kapuskasing,49.4169,-82.4331,6.0,81,100,6.17,CA,1697424602
122,flying fish cove,-10.4217,105.6791,26.82,89,100,5.14,CX,1697424602
123,chu,43.5983,73.7614,8.89,51,4,1.54,KZ,1697424602
124,inari,68.906,27.0288,2.11,99,100,5.43,FI,1697424602
125,flin flon,54.7682,-101.865,6.37,74,53,2.41,CA,1697424603
126,suklayin,15.7574,121.5503,29.52,63,78,2.92,PH,1697424603
127,bal'a,32.3311,35.1117,17.62,68,7,3.64,IL,1697424603
128,mandalgovi,45.7625,106.2708,11.71,26,100,6.39,MN,1697424603
129,lyuban',52.7985,28.0048,5.09,68,100,4.03,BY,1697424603
130,mondlo,-27.983,30.7177,11.99,89,100,2.79,ZA,1697424603
131,aykhal,66.0,111.5,-7.18,85,100,2.24,RU,1697424604
132,las lomitas,-24.7096,-60.593,34.8,29,98,4.87,AR,1697424557
133,hasaki,35.7333,140.8333,22.22,53,0,2.45,JP,1697424604
134,forrest city,35.0081,-90.7898,11.92,58,37,3.63,US,1697424604
135,hobyo,5.3505,48.5268,27.28,81,28,4.04,SO,1697424604
136,klyuchi,52.2667,79.1667,5.67,73,23,3.46,RU,1697424604
137,armacao de buzios,-22.7469,-41.8817,23.03,93,99,4.93,BR,1697424604
138,los banos,14.1667,121.1833,29.27,75,99,4.51,PH,1697424605
139,hithadhoo,-0.6,73.0833,27.61,77,3,8.03,MV,1697424605
140,puerto deseado,-47.7503,-65.8938,7.95,62,58,2.55,AR,1697424500
141,mount pearl,47.5166,-52.7813,11.29,93,75,2.57,CA,1697424605
142,irtyshsk,53.3333,75.4572,5.25,65,17,4.83,KZ,1697424605
143,iskateley,67.6803,53.1512,0.57,87,94,8.94,RU,1697424605
144,isnos,1.9356,-76.2406,14.61,97,100,1.68,CO,1697424605
145,georgetown,5.4112,100.3354,30.01,85,40,2.24,MY,1697424580
146,mulayjah,27.271,48.4242,27.61,16,0,4.29,SA,1697424606
147,nova xavantina,-14.6667,-52.35,27.1,52,74,1.33,BR,1697424606
148,gizo,-8.103,156.8419,29.22,74,71,4.6,SB,1697424606
149,devonport,-41.1667,146.35,16.96,46,38,1.79,AU,1697424606
150,hammerfest,70.6634,23.6821,4.25,87,100,8.23,NO,1697424606
151,key west,24.5557,-81.7826,28.33,78,75,6.17,US,1697424386
152,cocachacra,-17.0883,-71.7575,17.79,89,69,1.74,PE,1697424607
153,kuusamo,65.9667,29.1833,0.02,100,100,4.12,FI,1697424607
154,poronaysk,49.2167,143.1167,11.27,75,99,7.31,RU,1697424607
155,peniche,39.3558,-9.3811,20.06,97,100,2.87,PT,1697424607
156,nouadhibou,20.931,-17.0347,27.99,34,59,5.66,MR,1697424607
157,al jawf,29.5,38.75,16.32,66,0,2.18,SA,1697424608
158,yuzhno-kurilsk,44.0306,145.8556,14.1,69,98,1.86,RU,1697424608
159,floro,61.5996,5.0328,5.54,70,100,2.06,NO,1697424608
160,bealanana,-14.55,48.7333,18.34,91,15,0.11,MG,1697424608
161,olonkinbyen,70.9221,-8.7187,0.16,73,100,4.48,SJ,1697424608
162,khandyga,62.6667,135.6,-8.95,88,85,0.91,RU,1697424608
163,isafjordur,66.0755,-23.124,2.03,96,100,5.58,IS,1697424608
164,chibougamau,49.9168,-74.3659,8.79,76,0,4.63,CA,1697424608
165,moires,35.0532,24.8744,19.42,77,4,3.11,GR,1697424609
166,avarua,-21.2078,-159.775,23.03,56,60,4.63,CK,1697424609
167,rikaze,29.25,88.8833,7.82,40,87,1.68,CN,1697424609
168,cabo san lucas,22.8909,-109.9124,29.23,80,18,5.47,MX,1697424609
169,constantia,44.1833,28.65,11.5,81,100,9.51,RO,1697424609
170,igarka,67.4667,86.5833,1.01,99,100,1.41,RU,1697424609
171,bismarck,46.8083,-100.7837,9.34,75,0,2.57,US,1697424423
172,alta sierra,35.7291,-118.5495,12.84,39,0,1.19,US,1697424610
173,portland,45.5234,-122.6762,19.29,83,100,2.68,US,1697424559
174,kudahuvadhoo,2.6708,72.8944,28.09,74,29,8.03,MV,1697424610
175,ilulissat,69.2167,-51.1,-5.99,79,100,9.26,GL,1697424610
176,coahuayana de hidalgo,18.7,-103.6583,26.43,86,100,1.74,MX,1697424610
177,la punta,-33.1837,-66.3127,19.08,43,2,3.32,AR,1697424610
178,bathsheba,13.2167,-59.5167,28.34,78,20,3.6,BB,1697424611
179,nishinoomote,30.7333,131.0,24.31,53,40,8.23,JP,1697424611
180,susuman,62.7833,148.1667,-6.12,91,100,1.34,RU,1697424611
181,kodiak,57.79,-152.4072,8.73,93,100,7.2,US,1697424611
182,antri,26.0567,78.2144,27.74,40,100,1.43,IN,1697424611
183,shingu,33.7333,135.9833,23.54,41,0,2.83,JP,1697424611
184,touros,-5.1989,-35.4608,25.04,80,85,8.0,BR,1697424612
185,nuuk,64.1835,-51.7216,-1.66,86,75,5.14,GL,1697424612
186,tandil,-37.3217,-59.1332,11.49,95,11,2.78,AR,1697424608
187,crane,31.3974,-102.3501,15.84,37,0,4.28,US,1697424612
188,broken hill,-31.95,141.4333,20.33,28,1,8.87,AU,1697424612
189,beypazari,40.1675,31.9211,12.93,65,0,1.46,TR,1697424612
190,vodice,43.7608,15.7828,14.28,39,11,8.46,HR,1697424612
191,outjo,-20.1167,16.15,15.47,27,55,3.04,NA,1697424613
192,acarau,-2.8856,-40.12,26.01,83,67,7.84,BR,1697424613
193,vorgashor,67.5833,63.95,-0.57,98,100,4.74,RU,1697424613
194,nur-sultan,51.1801,71.446,1.97,93,75,3.0,KZ,1697424578
195,luderitz,-26.6481,15.1594,14.18,82,0,2.18,NA,1697424613
196,bulolo,-7.2,146.65,31.43,49,95,1.26,PG,1697424613
197,udachny,66.4167,112.4,-4.75,92,100,6.07,RU,1697424613
198,bubaque,11.2833,-15.8333,27.99,79,82,4.85,GW,1697424614
199,shuangjiang,26.1547,109.7138,24.08,43,0,1.28,CN,1697424614
200,kargopol',61.5071,38.9456,4.47,77,92,5.81,RU,1697424614
201,karasburg,-28.0167,18.75,12.78,60,0,0.92,NA,1697424614
202,bodo,67.28,14.405,6.54,78,75,11.32,NO,1697424614
203,sarina,-21.4333,149.2167,31.26,50,97,4.25,AU,1697424615
204,susanville,40.4163,-120.653,13.91,54,0,2.06,US,1697424615
205,quellon,-43.1167,-73.6167,7.48,91,100,2.96,CL,1697424615
